acc_acrossUser,alpha,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,comm_1,comm_2,comm_3,comm_4,comm_5,comm_6,difficult_1,difficult_2,difficult_3,difficult_4,difficult_5,difficult_6,ground_1,ground_2,ground_3,ground_4,ground_5,ground_6,id,multiple_user,voteHard_1,voteHard_2,voteHard_3,voteHard_4,voteHard_5,voteHard_6
"[9, 11, 24]",0.3125,0,0,0,0,1,0,There are no small chimpanzees.,The chimpanzee that is shown is barely visible.,There are no small chimpanzees.,There are no small chimpanzees.,This looks like the same small chimp from the original videos.,There are no small chimpanzees.,29,95,43,32,10,24,No,No,Yes,Yes,Yes,No,CCPL0000mo,1,0,2,3,2,0,0
"[9, 11, 24]",-0.222222222,1,1,0,0,1,0,it is somewhat easy,it is somewhat easy,i dont know clearly,its too difficult because the face did'nt shown,slightly easy to identify,i fellt it is a example video,50,50,92,81,50,50,No,No,Yes,Yes,Yes,No,CCPL0000mo,1,0,2,3,2,0,0
"[14, 17, 30]",-0.375,1,0,1,1,1,1,easy,easy,easy,easy,easy,easy,50,50,50,50,50,50,No,Yes,Yes,No,Yes,No,CCPL0000nf,1,1,1,0,1,0,1
"[14, 17, 30]",0.3125,1,1,1,0,1,1,They all look very similar,The chimps all look very similar,Looks very similar to first example video,"Hard to tell from this angle, but Thomas is usually alone","The chimps all look very similar, video quality isn't great","The chimps all look very similar, this chimp spends most of the clip far away/behind a tree",100,100,37,100,100,100,No,Yes,Yes,No,Yes,No,CCPL0000nf,1,1,1,0,1,0,1
"[14, 17, 30]",0.057142857,1,1,0,0,1,1,I feel easy,i feel easy,something difficult,something difficult,i feel easy,i feel easy,50,12,73,63,25,25,No,Yes,Yes,No,Yes,No,CCPL0000nf,1,1,1,0,1,0,1
"[14, 17, 30]",0.388888889,1,0,1,0,1,0,Yes it was in there..,i feel difficult..they was in walking thats side of they forest..,Yes ..it was in walking..,Because the face was not in my side..,yes ..they thomas was in their video..,Hard to say ..because it was in long distances..,37,59,34,74,50,50,No,Yes,Yes,No,Yes,No,CCPL0000nf,1,1,1,0,1,0,1
"[14, 17, 30]",0.3125,0,1,1,1,1,1,i feel very difficult,i feel somewhat easy,i feel difficult,i feel easy,i feel somewhat easy,i feel somewhat hard,68,64,75,33,50,58,No,Yes,Yes,No,Yes,No,CCPL0000nf,1,1,1,0,1,0,1
"[17, 23, 30]",-0.833333333,0,1,1,0,1,0,DIFFICULT,DIFFICULT,DIFFICULT,DIFFICULT,DIFFICULT,DIFFICULT,65,65,61,65,68,68,Yes,No,No,Yes,No,Yes,CCPL0000ng,1,1,2,2,2,3,1
"[17, 23, 30]",1,1,0,0,1,0,1,same spot as the other videos of Strax,different location and many together,shown in a different location,in the correct location where Strax has been sitting,you cannot see the location enough to determine,I feel it was easy because of the location he was in,2,4,11,1,97,4,Yes,No,No,Yes,No,Yes,CCPL0000ng,1,1,2,2,2,3,1
"[17, 23, 30]",1,1,0,0,1,0,1,"Easy, because it's the same as the video that showed me who Strax was.","Strax could be one of these chimps, but it's really hard to tell.","It's hard to say, as I've not gotten to see Strax's face in the provided materials.","I feel fairly certain that is Strax, as this video resembles the ones in the examples.",It's nearly impossible for me to guess if that is Strax or not.,"I'm guessing that is Strax, given the location and his positioning in the video is very similar to the examples at the beginning.",1,66,75,1,75,20,Yes,No,No,Yes,No,Yes,CCPL0000ng,1,1,2,2,2,3,1
"[17, 23, 30]",0.685714286,1,0,0,0,0,1,I recognize the shoulders,too many to choose from,looks too skiny,could be but looks too small,too skiny,the shoulders look the same,69,93,85,79,25,69,Yes,No,No,Yes,No,Yes,CCPL0000ng,1,1,2,2,2,3,1
"[17, 23, 30]",1,1,0,0,1,0,1,This appears to be Strax but it is difficult to tell because the chimp is turned around with its back facing the camera and it is difficult to see much detail,"None of these chimps appear to be Strax but it is difficult to determine for sure because in the sample videos of Strax, it is difficult to see many distinguishing characteristics that differentiate him from the other chimps.",It is difficult to determine whether or not this is Strax because this video is somewhat blurry and it is difficult to see many details of the chimp. It is also difficult because the sample videos of Strax show a chimp with its back to the camera most of the time.,"It is difficult to determine because this chimp and the chimp in the sample videos of Strax have there back facing the camera. So, it is difficult to see details of each. However, this chimp appears to have similar size and mannerisms compared to Strax.","This is difficult to determine because it is very difficult to see details in this video. Also, this video primarily shows the chimps face and front of body but the sample videos of Strax shows him with his back to the camera, making comparison difficult.","This appears to be Strax but it is difficult to be certain because this chimps back is to the camera (similar to the sample videos of Strax). However, I think this is Strax based on his size, mannerisms, and the surrounding habitat that is similar to the Strax sample videos.",65,60,85,65,75,65,Yes,No,No,Yes,No,Yes,CCPL0000ng,1,1,2,2,2,3,1
"[18, 22, 30]",1,0,1,0,1,1,0,both looks alike,same as before,same as previous,hard to find,difficult to find,i cant find,56,63,66,50,50,71,No,Yes,No,Yes,Yes,No,CCPL0000qd,1,1,1,1,1,1,2
"[18, 22, 30]",0.057142857,0,0,0,0,1,1,can't see his legs,can't see his whole body,too many chimps to figure out which one you're referring to,video is too dark and he's facing away from camera,i'm probably wrong but he climbs the same way as matteo did in original video,he has a bit of white on his leg so who knows,99,98,99,99,92,85,No,Yes,No,Yes,Yes,No,CCPL0000qd,1,1,1,1,1,1,2
"[18, 22, 30]",-0.222222222,1,0,1,1,0,0,You cannot see the face of any of the monkeys.,The monkey is only shown very briefly at the very top and not all of him is shown.,"The video gives a good, straight on view of the animals.",the camera angle gives a good view of the animal and he is alone in the frame.,"Between the animal being obstructed by the branches and the washed out tint of the video, it is hard to see.",The camera gives a good view of the animal and its face.,74,100,21,1,68,33,No,Yes,No,Yes,Yes,No,CCPL0000qd,1,1,1,1,1,1,2
"[18, 22, 30]",1,0,1,0,1,1,0,has more than one monkey with him,the tree is matteos tree,there is more than one monkey,its matteos tree,its matteos tree,because the tree isnt there but theres only one monkey so im not sure,19,1,31,1,1,100,No,Yes,No,Yes,Yes,No,CCPL0000qd,1,1,1,1,1,1,2
"[18, 22, 30]",0.685714286,0,1,0,1,1,1,Matteo is always alone in his videos.,Matteo likes to climb up the tree and this looks like his big tree.,"Matteo has only been alone in his videos, near a distinct tree.","It is the same tree in one of his videos, as the berry looking bush is in the front of the tree.","It looks like the same tree in his known videos, the video quality is similar and he is alone, climbing the tree.","This is a bit harder to determine, but he's alone and it looks like Matteo's build.",34,10,33,8,18,72,No,Yes,No,Yes,Yes,No,CCPL0000qd,1,1,1,1,1,1,2
"[11, 12, 30]",-0.375,0,1,0,0,0,0,He is just eating & going,One chimpanzee is carrying the other.,Chimpanzee is not moving,can not is one chimpanzee fully.,He is just sitting.,chimpanzee is moving but not carrying anything,1,1,4,41,50,3,No,No,No,Yes,Yes,Yes,CCPL0000qz,1,1,0,1,1,1,2
"[11, 12, 30]",0.388888889,1,0,0,1,0,1,i feel easy because porter is shown clearly,i feel easy because porter is shown clearly,i feel  difficult because porter is  not clearly,i feel easy because porter is shown clearly,i feel difficult because porter is not shown clearly,i feel easy because porter is shown clearly,50,23,69,18,42,36,No,No,No,Yes,Yes,Yes,CCPL0000qz,1,1,0,1,1,1,2
"[11, 12, 30]",0.057142857,1,0,0,0,1,0,difficult,difficult,difficult,difficult,difficult,difficult,60,65,61,64,65,63,No,No,No,Yes,Yes,Yes,CCPL0000qz,1,1,0,1,1,1,2
"[11, 12, 30]",-0.222222222,0,1,1,0,1,0,very easy to identify,with the walk of chimpanzee,Very easy to identify,Does not appear the front view,very easy,suddenly disappear the chimpanzee,50,29,50,65,20,62,No,No,No,Yes,Yes,Yes,CCPL0000qz,1,1,0,1,1,1,2
"[11, 12, 30]",-0.375,1,0,0,0,0,0,HARD TO FIND PORTER IN DARK BUT LOOKS LIKE SAME AS COMPARE TO DEFINITION OF PORTER,"IT'S EASY TO GUESS, CLEAR VIDEO",NOT MATCHED WITH PORTER DEFINITION,NOT PORTER AS PER DEFINITION,HARD TO GUESS BECAUSE PORTER MAY NOT BE PRESENT ON GROUND,EASY BECAUSE TREE IS OTHER THAN THE PORTER'S LOCATION,100,3,2,2,68,79,No,No,No,Yes,Yes,Yes,CCPL0000qz,1,1,0,1,1,1,2
"[20, 21, 30]",1,0,1,1,0,0,1,DIFFICULT,DIFFICULT,EASY,DIFFICULT,EASY,EASY,72,84,25,83,22,28,No,Yes,Yes,No,No,Yes,CCPL0000r0,1,0,1,0,1,0,0
"[20, 21, 30]",0.057142857,1,0,1,0,1,1,I feel difficulty because the animals are very similar,"The animal passes fast on the video, making it difficult to recognize","It appears to be Henry, according to the videos shown in an example previously",I have difficulty recognizing if it's Henry,appears to be Henry,appears to be Henry,81,100,50,100,50,40,No,Yes,Yes,No,No,Yes,CCPL0000r0,1,0,1,0,1,0,0
"[20, 21, 30]",0.685714286,0,1,1,0,1,1,it was very easy,it was very easy,very easy,it was difficult,very easy,it was very easy,22,42,27,86,22,17,No,Yes,Yes,No,No,Yes,CCPL0000r0,1,0,1,0,1,0,0
"[20, 21, 30]",-0.375,1,1,0,1,1,1,good,good,none,none,good,good,23,35,69,50,35,13,No,Yes,Yes,No,No,Yes,CCPL0000r0,1,0,1,0,1,0,0
"[20, 21, 30]",0.685714286,0,1,1,0,1,1,It was very easy,It was very easy,It was very easy,I felt it was very essy,I feel it was very easy,It was very easy,14,50,50,71,100,50,No,Yes,Yes,No,No,Yes,CCPL0000r0,1,0,1,0,1,0,0
"[6, 7, 18]",-0.222222222,1,0,0,1,0,1,DIFFICULT,DIFFICULT,DIFFICULT,NONE,DIFFICULT,NONE,94,89,89,68,80,43,No,Yes,Yes,Yes,No,No,CCPL0000ra,1,0,1,1,0,1,0
"[6, 7, 18]",0.388888889,1,0,1,1,0,0,Half of the body appears making it easy to see.,It appears hidden in the corner of the screen being a little difficult.,The image is whitish making it difficult to see but it appears on the left side.,Appears full body right in front of the camera being very easy.,Appears full body in the background being easy.,"It appears clearly and full-length, making it very easy to find.",19,55,69,3,30,4,No,Yes,Yes,Yes,No,No,CCPL0000ra,1,0,1,1,0,1,0
"[6, 7, 18]",0.057142857,1,0,1,1,1,0,They all look the same,They all look the same,This video looks similar to the first example of Nyack,The black and white video,black and white video,monkeys look too young,88,78,29,1,1,47,No,Yes,Yes,Yes,No,No,CCPL0000ra,1,0,1,1,0,1,0
"[11, 14, 30]",0.057142857,0,0,0,0,1,1,There is only a very brief glimpse of the back of the animal. It is impossible to see any distinguishable features to compare it to Selyan.,Its very difficult because the video is black and white and there's not a clear long glimpse at any of the animals shown. I would lean no because the brief glimpse of their heads doesn't seem to align with the protruding nature of Salyen from the example.,There is only a small glimpse at the chimpanzee and not really enough of a look tell if they match up to Selyan or not.,None of the chimpanzees in the video seem to match up with the body frame of Selyan but it is still not a clear glimpse because they are in motion (off the cameras view).,This chimpanzee seems to match up with the head size/body frame of Selyan and offers a pretty long look to judge a little easier.,Its difficult simply because there is only a short (couple seconds) glimpse at the chimpanzee but it does appear to have a very similar body frame and head structure.,100,88,100,75,25,65,Yes,Yes,No,No,No,Yes,CCPL0000se,1,3,0,1,0,2,0
"[11, 14, 30]",-0.375,0,1,1,1,1,1,I feel difficult hard to say,Easy to found,Easy to found,Easy to found,Easy to found,Easy to found,100,1,1,1,1,1,Yes,Yes,No,No,No,Yes,CCPL0000se,1,3,0,1,0,2,0
"[11, 14, 30]",-0.222222222,1,1,1,1,1,1,The animal is not clearly visible.,The video is clear.,Clear daylight,Video is clear.,Not clearly visible.,Clear daylight,68,1,2,22,82,20,Yes,Yes,No,No,No,Yes,CCPL0000se,1,3,0,1,0,2,0
"[11, 14, 30]",-0.571428571,0,0,1,1,0,0,I feel difficult because of Unable to see face of the animal,I feel easy because of face is not like Selyan,I feel easy because of face of the animal look like Selyan,I feel difficult because of walking is not look like Selyan,I feel difficult because of Unable to see face of the animal and video is dark,I feel difficult because of face of the animal is not look like Selyan,100,1,1,98,97,100,Yes,Yes,No,No,No,Yes,CCPL0000se,1,3,0,1,0,2,0
"[11, 14, 30]",0.685714286,0,1,0,0,0,1,toofast,near the example,near the second example,same as example,too dark,easy to see,65,84,30,9,100,21,Yes,Yes,No,No,No,Yes,CCPL0000se,1,3,0,1,0,2,0
"[17, 19, 30]",0.388888889,1,0,0,1,0,1,They are on the move through the forest like the examples,I can't tell if it is moving through the forest or looking for something,He is doing a purposeful job like the examples,He is moving through the forest like the examples,I can't tell if they are travelling or doing something purposeful,It is just travelling through the brush like the examples,12,84,1,2,100,1,No,Yes,No,Yes,No,Yes,CCPL0000te,1,0,2,1,1,1,1
"[17, 19, 30]",0.057142857,1,0,0,1,1,1,"a couple seem similar in the movements, but there is a bit of crowding in the video!",the walking pace and the posture seem different (almost dragging) but it is hard to be certain,"the video is very static, hard to judge from the shoulders!",based on the movements it seems very similar to Kafi,"the type of shot is very different from the examples above, so comparison is difficult",the movements seem very similar,71,47,65,41,68,48,No,Yes,No,Yes,No,Yes,CCPL0000te,1,0,2,1,1,1,1
"[17, 19, 30]",1,0,1,0,1,0,1,"There's a lot of chimpanzee's in the video and the videos in the sample are too far away, so it's hard to really tell who Kafi is because there's multiple chimpanzee's in the sample videos. I assume Kafi is the taller chimpanzee. But, since none of them are standing, I can't tell.",This was easier to spot because Kafi is the only Chimpanzee at first; and Kafi has long lengthy arms compared to the others.,"I think it's a bit easier to tell because the chimpanzee sitting doesn't have arms like Kafi, they're kind of lengthy and oddly shaped, though I can't fully see, I still think it's rather easy to tell this isn't Kafi as Kafi's fur is a bit more light colored",Kafi walks taller than the other chimpanzee's and has lengthier arms and legs and this was seen in the sample video of Kafi.,"These chimpanzee's arms are much thicker than Kafi's and their bodies are rounder, so it was easier to tell they weren't Kafi.","I think Kafi is a bit slimmer than the rest of the Chimpanzee's and because of Kafi's arms and legs it was able to be easier to detect if it was Kafi, or not.",78,5,35,6,3,15,No,Yes,No,Yes,No,Yes,CCPL0000te,1,0,2,1,1,1,1
"[17, 19, 30]",0.685714286,1,1,0,1,0,1,I see identity mark on back of the animal.,It was provided in the example video.,I am not getting any identity mark.,The almost same video was introduced earlier.,The face is not seems similar to Kafi.,I have seen identity mark on hips.,6,12,75,13,32,29,No,Yes,No,Yes,No,Yes,CCPL0000te,1,0,2,1,1,1,1
"[17, 19, 30]",-0.571428571,0,0,1,0,1,0,DIFFICULT,DIFFICULT,DIFFICULT,DIFFICULT,DIFFICULT,DIFFICULT,63,61,64,64,69,69,No,Yes,No,Yes,No,Yes,CCPL0000te,1,0,2,1,1,1,1
"[22, 27, 30]",1,0,0,1,1,1,0,The actions are different from the example block,There is hardly any capture of the animal in this video,"Although the behavior is the same, we do not get a look at the face in the example block","The perspective of both videos, this and the example block, do not allow for details to be picked out.","The actions seem consistent, but they could be generic.","Again, details are hard to ascertain, but I think the rear looks different.",94,93,64,77,67,71,No,No,Yes,Yes,Yes,No,CCPL0000u6,1,1,2,0,0,0,2
"[22, 27, 30]",0.685714286,1,0,1,1,1,0,the way they move,groupings,how they eat,how they move around,eating patterns,hump in back,70,61,35,35,40,28,No,No,Yes,Yes,Yes,No,CCPL0000u6,1,1,2,0,0,0,2
"[22, 27, 30]",1,0,0,1,1,1,0,not solitary or eating in a tree,color and not solitary eating in a tree,"black & white, solitary and eating in a tree","black & white, solitary and eating in a tree","black & white, solitary and eating in a tree",black & white and solitary but not eating in a tree,50,50,9,28,21,69,No,No,Yes,Yes,Yes,No,CCPL0000u6,1,1,2,0,0,0,2
"[22, 27, 30]",1,0,0,1,1,1,0,Tiamo's face is easy to recognize.,The animal is very hard to see.,I recognized him from the pictures above.,I recognized his head shape from the images above.,Tiamo's face is easy to recognize.,I couldn't see his face,32,100,34,50,50,91,No,No,Yes,Yes,Yes,No,CCPL0000u6,1,1,2,0,0,0,2
"[22, 27, 30]",0.3125,0,1,1,1,1,1,no,no,no,nohting,none,essy,2,1,1,1,15,11,No,No,Yes,Yes,Yes,No,CCPL0000u6,1,1,2,0,0,0,2
"[12, 14, 24]",0.057142857,0,0,0,1,0,1,It's very hard to see the animal in the video.,I think it's not a diamond but I'm not sure because I can't clearly see it.,I think it's not a diamond because it's not carrying a baby.,It's somewhat hard to see since the animal appears very quickly but it seems to be carrying a baby.,It's hard to tell if they are carrying a baby or not but I don't think so.,I think it's a diamond because it seems to be carrying a baby.,100,86,20,51,74,38,Yes,Yes,No,Yes,No,No,CCPL0000u7,1,2,2,0,0,2,0
"[12, 14, 24]",0.3125,0,0,0,1,0,0,I can barely make out the chimp because the footage is so dark in front of the tree.,The chimpanzee is crouching down and some foliage is blocking my view.,I didn't see any of the chimps with a baby.,I saw the hands of the chimp wrapped around Diamonds waist.,It was difficult to make the choice because my view was blocked.,The chimps shown are either too large or too small to be Diamond.,100,100,19,1,100,1,Yes,Yes,No,Yes,No,No,CCPL0000u7,1,2,2,0,0,2,0
"[12, 14, 24]",-0.222222222,0,0,0,0,0,0,I COULD NOT SEE ANY VIDEO,I COULD NOT SEE ANY VIDEO,I COULD NOT SEE ANY VIDEO,I COULD NOT SEE ANY VIDEO,I COULD NOT SEE ANY VIDEO,Easy,74,93,72,71,76,50,Yes,Yes,No,Yes,No,No,CCPL0000u7,1,2,2,0,0,2,0
"[12, 14, 24]",0.685714286,1,0,0,1,0,0,She has a baby,It is too hard to see and its back is turned,none of them have a baby,She has a baby with her,Hidden behind the trees,The chimp doesn't have a little baby,19,100,5,26,50,14,Yes,Yes,No,Yes,No,No,CCPL0000u7,1,2,2,0,0,2,0
"[22, 22, 30]",1,1,0,0,0,1,1,I feel it easy because is similar to an earlier clip,I feel it difficult because the camera didn't really have a nice view,I feel it easy because of the running scene.,I feel difficult because I couldn't easily tell the continuation of which clip it is.,I feel it easy because is similar to an earlier clip,I feel it easy because is similar to an earlier clip,56,67,18,63,71,37,Yes,No,No,No,Yes,Yes,CCPL0000vn,1,0,0,0,0,0,0
"[22, 22, 30]",1,1,0,0,0,1,1,"A little hard to know exactly, but the face is similar.",Easy to know because neither the face nor the structure of the body are alike.,"The animal passes very fast, but by the structure of the body it does not appear to be.","I don't think it's because of the way the animal walks, but it's very difficult to know because it passes quickly.","Easy because it's the same video as the instructions, and the animal has the same characteristics.","The face looks good, but with little precision.",68,10,39,77,14,62,Yes,No,No,No,Yes,Yes,CCPL0000vn,1,0,0,0,0,0,0
"[22, 22, 30]",1,1,0,0,0,1,1,You don't get a great look at him since he is cut-off for most of the video so I felt it was more difficult than easy.,The face was similar which makes it difficult but the body was stockier so I don't think it was Rover.,I could only see his backside so very difficult to tell but I think this animal was a little stockier than Rover.,It was easy because the body types were different than Rover's.,It's difficult because you don't get to see the front of the animal.,You can only see the face of Rover in the video so it is difficult to confirm.,67,91,100,12,100,100,Yes,No,No,No,Yes,Yes,CCPL0000vn,1,0,0,0,0,0,0
"[22, 22, 30]",-0.222222222,1,1,1,1,1,1,The rover is seen in the video.,The rover is seen in the video.,The rover is seen in the vedio.,The video was very clear seen.,The video was very clear seen.,This video was very calm and clear seen.,10,14,5,5,6,7,Yes,No,No,No,Yes,Yes,CCPL0000vn,1,0,0,0,0,0,0
"[22, 22, 30]",-0.571428571,0,1,1,1,1,0,I made my decision based on the instructions,Based on the video clip given below,The given video clip give me tips to make my decision,eecause the the action of the video,nothing,nothing,76,61,61,42,45,64,Yes,No,No,No,Yes,Yes,CCPL0000vn,1,0,0,0,0,0,0
"[18, 20, 30]",0.685714286,1,0,1,0,0,0,video image is not for the example video.,i feel difficult. Because this not for the sample video,easy to say. same for the example image.,easy to say this not ayana.,easy to say this is the not for the ayana.,this is not for the ayana,50,100,68,1,26,16,Yes,No,Yes,Yes,No,No,CCPL0000yp,1,0,2,0,1,1,0
"[18, 20, 30]",-0.222222222,1,1,1,1,1,1,visual quality is good,clearly visible,animal picture quality is good,Video clarity is not good,easy to recognize,animal clearly visible.,1,8,1,76,1,1,Yes,No,Yes,Yes,No,No,CCPL0000yp,1,0,2,0,1,1,0
"[18, 20, 30]",0.388888889,1,1,1,0,0,0,slightly similar,slightly similar,slightly similar,hard to find,slightly same,easy,63,50,69,64,50,50,Yes,No,Yes,Yes,No,No,CCPL0000yp,1,0,2,0,1,1,0
"[18, 20, 30]",0.685714286,1,0,1,1,0,1,the swollen bottom,I can't see the backsides,her swollen backside,The backside is larger,this is a male,There are 2 females but I believe the last one is ayana,33,50,26,33,7,23,Yes,No,Yes,Yes,No,No,CCPL0000yp,1,0,2,0,1,1,0
"[18, 20, 30]",0.388888889,1,1,1,0,0,0,I think the butt makes it easy to identify Ayana from what I can tell.,"Its hard to say for sure because the chimpanzee at the beginning looked like Ayana, but was only present for a few seconds.",Same videos as video 1 so it seems like her again.,I cannot really see because the white color of the video and cant tell for sure if its Ayana.,Shes does not seem to be present in the video and if she is it is hard to make out in this video because they're far away.,It doesnt seem to show Ayana in the video that I can identify. Im pretty sure the last chimp is not her.,30,82,27,100,56,13,Yes,No,Yes,Yes,No,No,CCPL0000yp,1,0,2,0,1,1,0
"[17, 17, 30]",-0.222222222,1,1,1,1,1,1,i feel easy,I feel easy.,I feel easy. Because the video is cleared.,I feel easy. Because of i easy to identify.,I feel very easy.,i feel easy.,20,25,34,42,14,40,Yes,No,Yes,No,Yes,No,CCPL0000zh,1,0,0,1,0,0,0
"[17, 17, 30]",-0.222222222,1,1,1,1,1,1,I FEEL EASY,I FEEL EASY,I FEEL EASY,I FEEL EASY,I FEEL EASY,I FEEL EASY,38,36,37,36,32,25,Yes,No,Yes,No,Yes,No,CCPL0000zh,1,0,0,1,0,0,0
"[17, 17, 30]",0.685714286,1,1,1,0,1,0,very clear,good,interesting,not clear,nice,very bad,1,1,34,71,50,100,Yes,No,Yes,No,Yes,No,CCPL0000zh,1,0,0,1,0,0,0
"[17, 17, 30]",0.057142857,1,0,0,1,1,1,i feel dificult,It is difficult,It is very difficult to say,It is difficult,I felt difficult,I feel difficult,71,76,97,73,83,84,Yes,No,Yes,No,Yes,No,CCPL0000zh,1,0,0,1,0,0,0
"[17, 17, 30]",-0.222222222,1,1,1,1,1,1,"For few seconds, the baron could not be spotted",The baron were all easily spotted.,It took a while to detect the baron.,"Although the video seemed blur, the baron could still be detected.",The barons was easily detected.,The barons were a bit far away.,31,11,50,41,11,41,Yes,No,Yes,No,Yes,No,CCPL0000zh,1,0,0,1,0,0,0
"[12, 15, 24]",-0.375,0,1,1,1,1,1,easy,easy,easy,easy,easy,easy,16,50,12,13,50,50,Yes,No,No,No,Yes,Yes,CCPL00013y,1,0,1,0,2,0,1
"[12, 15, 24]",0.3125,0,0,0,0,1,0,I feel easy because of the size of the animal.,I feel difficult because the face was covered.,I feel difficult because only the back was shown and then it went into the tall grass.,I feel difficult because it is far in the distance and is covered by plants.,I feel difficult because the head is barely shown and only the size of the body.,I feel difficult because only the body is shown and not the head.,15,100,67,100,73,87,Yes,No,No,No,Yes,Yes,CCPL00013y,1,0,1,0,2,0,1
"[12, 15, 24]",0.388888889,0,1,0,0,1,1,It's easy to understand those are not James,"It looks like him, but it's partially hidden","It's easy to say that's not James, it's a mother with her child",It's impossible to see anything,It's easy to understand that's a close up of James,"It looks like James, but it's not clear since i can see half of it",1,70,1,100,1,85,Yes,No,No,No,Yes,Yes,CCPL00013y,1,0,1,0,2,0,1
"[12, 15, 24]",0.685714286,1,1,0,0,1,1,nothing difficult,very easy,nothing difficult,nothing difficult,very easy,nothing diffuclut,16,6,15,5,15,10,Yes,No,No,No,Yes,Yes,CCPL00013y,1,0,1,0,2,0,1
"[11, 11, 24]",-0.375,1,1,1,1,1,0,"During the video, Azize appears in the video only for a fraction of a second. He quickly leaves the camera's field of view.","Azize appears frontally in front of the camera, this was easy to identify.","I'm not sure, but everything indicates that the first chimpanzee to appear in the scene is Azize.","Azize stands very close to the camera for a moment, then he moves out of the camera's field of view.",Azize is shown climbing a tree.,"A chimpanzee is shown in the video, but the distance he is from the camera makes it difficult to know if he really is Azize or not.",20,1,60,1,10,85,Yes,Yes,No,No,No,Yes,CCPL00014c,1,1,0,0,0,0,2
"[11, 11, 24]",0.388888889,1,1,0,1,0,0,The video was shown with the chimpanzee,This video was shown some chimpanzee so it was very easy,because the chimpanzee are going for a distance,it was very easy to recognize,the chimpanzees are go up to the tree,there are very mildly known chimpanzees,39,24,59,22,50,69,Yes,Yes,No,No,No,Yes,CCPL00014c,1,1,0,0,0,0,2
"[11, 11, 24]",0.057142857,0,1,0,1,0,0,felt difficult because the animal not visibled clearly,easy to find,looks different from azize,looks same as azize,it having some difference from azize,can't see the animal,71,1,32,19,62,100,Yes,Yes,No,No,No,Yes,CCPL00014c,1,1,0,0,0,0,2
"[11, 11, 24]",-0.222222222,0,1,1,0,1,0,I feel easy because it is walking,i feel easy,i feel easy,it is easy,i feel easy,i feel easy,9,18,11,50,9,10,Yes,Yes,No,No,No,Yes,CCPL00014c,1,1,0,0,0,0,2
"[12, 15, 24]",0.388888889,1,1,0,1,0,1,i felt easy,i felt easy,i felt easy to mark,i felt very easy because it is the same video of the example,i felt slightly difficult,i felt easy,61,33,35,13,81,50,No,No,No,Yes,No,Yes,CCPL00014i,1,1,0,0,0,2,0
"[12, 15, 24]",0.3125,1,0,0,1,0,0,i can see it is same,not so clear,the same spot in the wood,it is the same spot as in the wood,not so clear to see,the spot on it head,5,100,96,96,97,96,No,No,No,Yes,No,Yes,CCPL00014i,1,1,0,0,0,2,0
"[12, 15, 24]",0.3125,0,0,1,0,0,1,i feel its difficult because its looks same,its easy to find because its chimpanzee,its easy because i found its Amiri,i feel easy because its chimpanzee,i feel difficult because it not clear.,i feel its easy because it is easy to find amiri,82,15,5,12,50,8,No,No,No,Yes,No,Yes,CCPL00014i,1,1,0,0,0,2,0
"[12, 15, 24]",0.057142857,1,0,1,1,1,1,i feel difficult,i feel difficult,i feel somwhat difficult,i feel difficult,i feel difficult,i feel difficult to found,66,64,50,59,84,81,No,No,No,Yes,No,Yes,CCPL00014i,1,1,0,0,0,2,0
"[16, 22, 30]",1,1,1,0,0,0,0,I feel it was easy because of the back coloring.,I feel it was easy because of the back coloring.,I feel it was difficult because of the lack of visibility.,I feel it was easy because of the lack of silver on back.,I feel it was easy because of the facial coloring.,I feel it was difficult because of the distance of the shot.,25,19,95,4,33,78,Yes,Yes,No,No,No,No,CCPL0001mb,1,2,1,2,1,2,2
"[16, 22, 30]",0.057142857,1,0,1,0,1,0,I can easily find it.,It is easy to find out because the video is clear.,I can easily find because of the something make fear.,I can easily find because the animal is moving.,Easily find the the animal is moving.,It is easy to find because the visual is very clear.,30,20,7,13,24,10,Yes,Yes,No,No,No,No,CCPL0001mb,1,2,1,2,1,2,2
"[16, 22, 30]",-0.1,0,0,0,0,0,0,I COULD NOT SEE ANY VIDEO HERE,I COULD NOT SEE ANY VIDEO HERE,I COULD NOT SEE ANY VIDEO HERE,I COULD NOT SEE ANY VIDEO HERE,I COULD NOT SEE ANY VIDEO HERE,I COULD NOT SEE ANY VIDEO HERE,100,79,92,89,89,96,Yes,Yes,No,No,No,No,CCPL0001mb,1,2,1,2,1,2,2
"[16, 22, 30]",1,1,1,0,0,0,0,"his size, and the place where he always stays","Halloweenie is quite observant, I identified him for that","I couldn't see any animals in the video, so it's hard to say if he moved the rooster","Halloweenie usually walks alone without the presence of other chimpanzees, and the chimpanze that appears closer and closer has a different bottom.","I believe it is, but I'm not so sure, so I didn't mark it as yes. He looks a little different",I definitely believe that none are the Halloweenie,40,50,100,30,60,38,Yes,Yes,No,No,No,No,CCPL0001mb,1,2,1,2,1,2,2
